geoid,geoid2,schooldistrictname,aveincome
9700000US4218510,4218510,Parkland School District,108288
9700000US4218570,4218570,Pen Argyl Area School District,77029
9700000US4218580,4218580,Penn-Delco School District,91041
9700000US4218590,4218590,Penn Hills School District,64846
9700000US4218630,4218630,Penn Manor School District,76515
9700000US4218660,4218660,Penn-Trafford School District,92136
9700000US4218740,4218740,Penncrest School District,65658
9700000US4218750,4218750,Pennridge School District,97099
9700000US4218780,4218780,Penns Manor Area School District,65824
9700000US4218810,4218810,Penns Valley Area School District,80443
9700000US4218840,4218840,Pennsbury School District,124495
9700000US4218900,4218900,Pequea Valley School District,83030
9700000US4218930,4218930,Perkiomen Valley School District,119191
9700000US4218960,4218960,Peters Township School District,150721
9700000US4218990,4218990,Philadelphia City School District,60517
9700000US4219020,4219020,Philipsburg-Osceola Area School District,56053
9700000US4219050,4219050,Phoenixville Area School District,105474
9700000US4219140,4219140,Pine Grove Area School District,64218
9700000US4219170,4219170,Pittsburgh School District,66552
9700000US4219200,4219200,Pittston Area School District,65446
9700000US4219290,4219290,Pleasant Valley School District,78350
9700000US4219350,4219350,Plum Borough School District,83583
9700000US4219470,4219470,Colonial School District,120522
9700000US4219500,4219500,Pocono Mountain School District,75323
9700000US4219530,4219530,Port Allegany School District,57936
9700000US4219560,4219560,Portage Area School District,60042
9700000US4219650,4219650,Pottsgrove School District,87421
9700000US4219680,4219680,Pottstown School District,57036
9700000US4219710,4219710,Pottsville Area School District,57934
9700000US4219800,4219800,Punxsutawney Area School District,56155
9700000US4219830,4219830,Purchase Line School District,52337
9700000US4219860,4219860,Quaker Valley School District,141619
9700000US4219890,4219890,Quakertown Community School District,84726
9700000US4219920,4219920,Radnor Township School District,177144
9700000US4220040,4220040,Reading School District,39404
9700000US4220100,4220100,Red Lion Area School District,77333
9700000US4220130,4220130,Redbank Valley School District,54948
9700000US4220220,4220220,Reynolds School District,62216
9700000US4220250,4220250,Richland School District,68148
9700000US4220310,4220310,Ridgway Area School District,57134
9700000US4220370,4220370,Ridley School District,81959
9700000US4220400,4220400,Ringgold School District,66013
9700000US4220430,4220430,Riverview School District,74737
9700000US4220460,4220460,Rochester Area School District,54796
9700000US4220520,4220520,Rockwood Area School District,64472
9700000US4220550,4220550,Rose Tree Media School District,129152
9700000US4220580,4220580,South Fayette Township School District,109893
9700000US4220640,4220640,St. Marys Area School District,64827
9700000US4220730,4220730,Salisbury Township School District,100795
9700000US4220760,4220760,Salisbury-Elk Lick School District,58153
9700000US4220850,4220850,Sayre Area School District,60500
9700000US4220910,4220910,Schuylkill Haven Area School District,68536
9700000US4220970,4220970,Schuylkill Valley School District,81821
9700000US4221090,4221090,Scranton School District,51471
9700000US4221120,4221120,Selinsgrove Area School District,70585
9700000US4221150,4221150,Yough School District,64837
9700000US4221180,4221180,Shade-Central City School District,54390
9700000US4221200,4221200,Shaler Area School District,76553
9700000US4221240,4221240,Shamokin Area School District,48636
9700000US4221270,4221270,Shanksville-Stonycreek School District,72835
9700000US4221330,4221330,Sharon City School District,45785
9700000US4221420,4221420,Sharpsville Area School District,60880
9700000US4221490,4221490,Shenandoah Valley School District,41752
9700000US4221510,4221510,Shenango Area School District,66488
9700000US4221540,4221540,Shikellamy School District,58870
9700000US4221570,4221570,Shippensburg Area School District,65301
9700000US4221660,4221660,Slippery Rock Area School District,64997
9700000US4221690,4221690,Smethport Area School District,58552
9700000US4221810,4221810,Solanco School District,75557
9700000US4221840,4221840,Somerset Area School District,60265
9700000US4221870,4221870,Souderton Area School District,104570
9700000US4221910,4221910,South Allegheny School District,53407
9700000US4221930,4221930,South Butler County School District,78303
9700000US4222050,4222050,South Middleton School District,87887
9700000US4222060,4222060,South Park School District,81839
9700000US4222140,4222140,South Williamsport Area School District,60714
9700000US4222170,4222170,South Eastern School District,84466
9700000US4222200,4222200,Southeastern Greene School District,68573
9700000US4222230,4222230,South Side Area School District,77464
9700000US4222260,4222260,Southern Columbia Area School District,68253
9700000US4222290,4222290,Southern Fulton School District,65919
9700000US4222320,4222320,Southern Huntingdon County School District,58116
9700000US4222350,4222350,Southern Lehigh School District,123507
9700000US4222370,4222370,Southern Tioga School District,64319
9700000US4222380,4222380,Southern York County School District,92920
9700000US4222400,4222400,Southeast Delco School District,62877
9700000US4222410,4222410,Southmoreland School District,64439
9700000US4222440,4222440,Seneca Valley School District,109680
9700000US4222470,4222470,South Western School District,79168
9700000US4222530,4222530,Spring Cove School District,63037
9700000US4222560,4222560,Spring-Ford Area School District,116151
9700000US4222590,4222590,Spring Grove Area School District,80746
9700000US4222600,4222600,Springfield School District,113941
9700000US4222620,4222620,Springfield Township School District,118695
9700000US4222710,4222710,St. Clair Area School District,52220
9700000US4222740,4222740,Tuscarora School District,70085
9700000US4222770,4222770,State College Area School District,78747
9700000US4222790,4222790,Steel Valley School District,56262
9700000US4222800,4222800,Steelton-Highspire School District,50139
9700000US4222830,4222830,Sto-Rox School District,45886
9700000US4222860,4222860,Stroudsburg Area School District,74862
9700000US4222920,4222920,Sullivan County School District,58010
9700000US4222980,4222980,Susquehanna Community School District,53606
9700000US4223010,4223010,Susquehanna Township School District,77321
9700000US4223040,4223040,Susquenita School District,72928
9700000US4223220,4223220,Tamaqua Area School District,59822
9700000US4223250,4223250,Riverside School District,64622
9700000US4223490,4223490,Titusville Area School District,54313
9700000US4223550,4223550,Towanda Area School District,64811
9700000US4223640,4223640,Tredyffrin-Easttown School District,179035
9700000US4223700,4223700,Tri-Valley School District,67065
9700000US4223760,4223760,Trinity Area School District,74826
9700000US4223790,4223790,Troy Area School District,64226
9700000US4223820,4223820,Tulpehocken Area School District,82144
9700000US4223850,4223850,Tunkhannock Area School District,70803
9700000US4223880,4223880,Turkeyfoot Valley Area School District,52771
9700000US4223970,4223970,Tussey Mountain School District,51857
9700000US4224000,4224000,Twin Valley School District,90806
9700000US4224030,4224030,Tyrone Area School District,62076
9700000US4224060,4224060,Union Area School District,60382
9700000US4224090,4224090,Union City Area School District,57762
9700000US4224120,4224120,Union School District,49293
9700000US4224150,4224150,Uniontown Area School District,53848
9700000US4224210,4224210,Unionville-Chadds Ford School District,170938
9700000US4224240,4224240,United School District,65133
9700000US4224300,4224300,Upper Adams School District,75674
9700000US4224320,4224320,Upper Darby School District,69158
9700000US4224360,4224360,Upper Dauphin Area School District,63652
9700000US4224390,4224390,Upper Dublin School District,152333
9700000US4224480,4224480,Upper Merion Area School District,117400
9700000US4224510,4224510,Upper Moreland Township School District,88474
9700000US4224540,4224540,Upper Perkiomen School District,86097
9700000US4224570,4224570,Upper St. Clair School District,157760
9700000US4224630,4224630,Valley Grove School District,57471
9700000US4224650,4224650,Valley View School District,62609
9700000US4224750,4224750,Wallenpaupack Area School District,73645
9700000US4224790,4224790,Wallingford-Swarthmore School District,146957
9700000US4224820,4224820,Warren County School District,61497
9700000US4224870,4224870,Warrior Run School District,64526
9700000US4224960,4224960,Warwick School District,81952
9700000US4224970,4224970,Wayne Highlands School District,62249
9700000US4224990,4224990,Washington School District,53042
9700000US4225080,4225080,Wattsburg Area School District,77569
9700000US4225110,4225110,Waynesboro Area School District,65971
9700000US4225140,4225140,Weatherly Area School District,62543
9700000US4225170,4225170,Wellsboro Area School District,68175
9700000US4225200,4225200,West Allegheny School District,91366
9700000US4225230,4225230,West Branch Area School District,54843
9700000US4225290,4225290,West Chester Area School District,123808
9700000US4225440,4225440,West Greene School District,69613
9700000US4225590,4225590,West Jefferson Hills School District,99448
9700000US4225650,4225650,West Middlesex Area School District,59898
9700000US4225680,4225680,West Mifflin Area School District,63401
9700000US4225740,4225740,West Perry School District,72291
9700000US4225830,4225830,West Shore School District,81233
